realm,name2,moku_olelo,moku,island_olelo,island,ecosystem_type,area_km2,year
Marine,PUNA KAU,Puna,puna,Kaua‘i,kauai,Open Ocean,122.51,2016
Marine,PUNA KAU,Puna,puna,Kaua‘i,kauai,Open Ocean,122.51,2019
Marine,PUNA KAU,Puna,puna,Kaua‘i,kauai,Other Hard Bottom,0.58,2013
Marine,PUNA KAU,Puna,puna,Kaua‘i,kauai,Other Hard Bottom,0.58,2016
Marine,PUNA KAU,Puna,puna,Kaua‘i,kauai,Other Hard Bottom,0.58,2019
Marine,PUNA KAU,Puna,puna,Kaua‘i,kauai,Pavement,37.25,2013
Marine,PUNA KAU,Puna,puna,Kaua‘i,kauai,Pavement,37.25,2016
Marine,PUNA KAU,Puna,puna,Kaua‘i,kauai,Pavement,37.25,2019
Marine,PUNA KAU,Puna,puna,Kaua‘i,kauai,Soft Bottom,6.96,2013
Marine,PUNA KAU,Puna,puna,Kaua‘i,kauai,Soft Bottom,6.96,2016
Marine,PUNA KAU,Puna,puna,Kaua‘i,kauai,Soft Bottom,6.96,2019
Marine,KONA KAU,Kona,kona,Kaua‘i,kauai,Coral Dominated Hard Bottom,0.82,2013
Marine,KONA KAU,Kona,kona,Kaua‘i,kauai,Coral Dominated Hard Bottom,0.82,2016
Marine,KONA KAU,Kona,kona,Kaua‘i,kauai,Coral Dominated Hard Bottom,0.82,2019
Marine,KONA KAU,Kona,kona,Kaua‘i,kauai,Open Ocean,188.33,2013
Marine,KONA KAU,Kona,kona,Kaua‘i,kauai,Open Ocean,188.33,2016
Marine,KONA KAU,Kona,kona,Kaua‘i,kauai,Open Ocean,188.33,2019
Marine,KONA KAU,Kona,kona,Kaua‘i,kauai,Pavement,36.07,2013
Marine,KONA KAU,Kona,kona,Kaua‘i,kauai,Pavement,36.07,2016
Marine,KONA KAU,Kona,kona,Kaua‘i,kauai,Pavement,36.07,2019
Marine,KONA KAU,Kona,kona,Kaua‘i,kauai,Rock/Boulder,9.1,2013
Marine,KONA KAU,Kona,kona,Kaua‘i,kauai,Rock/Boulder,9.1,2016
Marine,KONA KAU,Kona,kona,Kaua‘i,kauai,Rock/Boulder,9.1,2019
Marine,KONA KAU,Kona,kona,Kaua‘i,kauai,Soft Bottom,13.44,2013
Marine,KONA KAU,Kona,kona,Kaua‘i,kauai,Soft Bottom,13.44,2016
Marine,KONA KAU,Kona,kona,Kaua‘i,kauai,Soft Bottom,13.44,2019
Marine,KONA NIH,Kona,kona,Ni‘ihau,niihau,Coral Dominated Hard Bottom,0.07,2013
Marine,KONA NIH,Kona,kona,Ni‘ihau,niihau,Coral Dominated Hard Bottom,0.07,2016
Marine,KONA NIH,Kona,kona,Ni‘ihau,niihau,Coral Dominated Hard Bottom,0.07,2019
Marine,KONA NIH,Kona,kona,Ni‘ihau,niihau,Open Ocean,187.05,2013
Marine,KONA NIH,Kona,kona,Ni‘ihau,niihau,Open Ocean,187.05,2016
Marine,KONA NIH,Kona,kona,Ni‘ihau,niihau,Open Ocean,187.05,2019
Marine,KONA NIH,Kona,kona,Ni‘ihau,niihau,Pavement,0.01,2013
Marine,KONA NIH,Kona,kona,Ni‘ihau,niihau,Pavement,0.01,2016
Marine,KONA NIH,Kona,kona,Ni‘ihau,niihau,Pavement,0.01,2019
Marine,KONA NIH,Kona,kona,Ni‘ihau,niihau,Rock/Boulder,78.28,2013
Marine,KONA NIH,Kona,kona,Ni‘ihau,niihau,Rock/Boulder,78.28,2016
Marine,KONA NIH,Kona,kona,Ni‘ihau,niihau,Rock/Boulder,78.28,2019
Marine,KONA NIH,Kona,kona,Ni‘ihau,niihau,Soft Bottom,3.68,2013
Marine,KONA NIH,Kona,kona,Ni‘ihau,niihau,Soft Bottom,3.68,2016
Marine,KONA NIH,Kona,kona,Ni‘ihau,niihau,Soft Bottom,3.68,2019
Marine,PUNA NIH,Puna,puna,Ni‘ihau,niihau,Coral Dominated Hard Bottom,7.76,2013
Marine,PUNA NIH,Puna,puna,Ni‘ihau,niihau,Coral Dominated Hard Bottom,7.76,2016
Marine,PUNA NIH,Puna,puna,Ni‘ihau,niihau,Coral Dominated Hard Bottom,7.76,2019
Marine,PUNA NIH,Puna,puna,Ni‘ihau,niihau,Open Ocean,112.87,2013
Marine,PUNA NIH,Puna,puna,Ni‘ihau,niihau,Open Ocean,112.87,2016
Marine,PUNA NIH,Puna,puna,Ni‘ihau,niihau,Open Ocean,112.87,2019
Marine,PUNA NIH,Puna,puna,Ni‘ihau,niihau,Rock/Boulder,20.54,2013
Marine,PUNA NIH,Puna,puna,Ni‘ihau,niihau,Rock/Boulder,20.54,2016
Marine,PUNA NIH,Puna,puna,Ni‘ihau,niihau,Rock/Boulder,20.54,2019
Marine,PUNA NIH,Puna,puna,Ni‘ihau,niihau,Soft Bottom,5.59,2013
Marine,PUNA NIH,Puna,puna,Ni‘ihau,niihau,Soft Bottom,5.59,2016
Marine,PUNA NIH,Puna,puna,Ni‘ihau,niihau,Soft Bottom,5.59,2019
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Coral Dominated Hard Bottom,29.89,2013
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Coral Dominated Hard Bottom,29.89,2016
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Coral Dominated Hard Bottom,29.89,2019
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Open Ocean,163.65,2013
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Open Ocean,163.65,2016
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Open Ocean,163.65,2019
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Other Hard Bottom,4.46,2013
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Other Hard Bottom,4.46,2016
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Other Hard Bottom,4.46,2019
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Pavement,31.14,2013
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Pavement,31.14,2016
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Pavement,31.14,2019
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Rock/Boulder,2.47,2013
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Rock/Boulder,2.47,2016
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Rock/Boulder,2.47,2019
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Soft Bottom,9.35,2013
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Soft Bottom,9.35,2016
Marine,KOOLAULOA,Ko‘olauloa,koolauloa,O‘ahu,oahu,Soft Bottom,9.35,2019
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Coral Dominated Hard Bottom,13.88,2013
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Coral Dominated Hard Bottom,13.88,2016
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Coral Dominated Hard Bottom,13.88,2019
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Open Ocean,114.82,2013
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Open Ocean,114.82,2016
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Open Ocean,114.82,2019
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Other Hard Bottom,3.85,2013
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Other Hard Bottom,3.85,2016
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Other Hard Bottom,3.85,2019
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Pavement,18.74,2013
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Pavement,18.74,2016
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Pavement,18.74,2019
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Rock/Boulder,5.31,2013
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Rock/Boulder,5.31,2016
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Rock/Boulder,5.31,2019
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Soft Bottom,4.2,2013
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Soft Bottom,4.2,2016
Marine,WAIALUA,Waialua,waialua,O‘ahu,oahu,Soft Bottom,4.2,2019
Marine,WAIANAE,Wa‘ianae,waianae,O‘ahu,oahu,Coral Dominated Hard Bottom,0.36,2013
Marine,WAIANAE,Wa‘ianae,waianae,O‘ahu,oahu,Coral Dominated Hard Bottom,0.36,2016
Marine,WAIANAE,Wa‘ianae,waianae,O‘ahu,oahu,Coral Dominated Hard Bottom,0.36,2019
Marine,WAIANAE,Wa‘ianae,waianae,O‘ahu,oahu,Open Ocean,107.82,2013
Marine,WAIANAE,Wa‘ianae,waianae,O‘ahu,oahu,Open Ocean,107.82,2016
Marine,WAIANAE,Wa‘ianae,waianae,O‘ahu,oahu,Open Ocean,107.82,2019
Marine,WAIANAE,Wa‘ianae,waianae,O‘ahu,oahu,Pavement,28.09,2013
Marine,WAIANAE,Wa‘ianae,waianae,O‘ahu,oahu,Pavement,28.09,2016
Marine,WAIANAE,Wa‘ianae,waianae,O‘ahu,oahu,Pavement,28.09,2019
Marine,WAIANAE,Wa‘ianae,waianae,O‘ahu,oahu,Rock/Boulder,2.99,2013
Marine,WAIANAE,Wa‘ianae,waianae,O‘ahu,oahu,Rock/Boulder,2.99,2016
Marine,WAIANAE,Wa‘ianae,waianae,O‘ahu,oahu,Rock/Boulder,2.99,2019
Marine,WAIANAE,Wa‘ianae,waianae,O‘ahu,oahu,Soft Bottom,8.62,2013
Marine,WAIANAE,Wa‘ianae,waianae,O‘ahu,oahu,Soft Bottom,8.62,2016
Marine,WAIANAE,Wa‘ianae,waianae,O‘ahu,oahu,Soft Bottom,8.62,2019
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Coral Dominated Hard Bottom,1.26,2013
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Coral Dominated Hard Bottom,1.26,2016
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Coral Dominated Hard Bottom,1.26,2019
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Open Ocean,108.08,2013
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Open Ocean,108.08,2016
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Open Ocean,108.08,2019
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Other Hard Bottom,3.87,2013
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Other Hard Bottom,3.87,2016
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Other Hard Bottom,3.87,2019
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Pavement,66.03,2013
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Pavement,66.03,2016
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Pavement,66.03,2019
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Rock/Boulder,0.08,2013
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Rock/Boulder,0.08,2016
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Rock/Boulder,0.08,2019
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Soft Bottom,36.47,2013
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Soft Bottom,36.47,2016
Marine,EWA,‘Ewa,ewa,O‘ahu,oahu,Soft Bottom,36.47,2019
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Coral Dominated Hard Bottom,43.03,2013
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Coral Dominated Hard Bottom,43.03,2016
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Coral Dominated Hard Bottom,43.03,2019
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Open Ocean,195.99,2013
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Open Ocean,195.99,2016
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Open Ocean,195.99,2019
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Other Hard Bottom,4.69,2013
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Other Hard Bottom,4.69,2016
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Other Hard Bottom,4.69,2019
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Pavement,69.61,2013
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Pavement,69.61,2016
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Pavement,69.61,2019
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Rock/Boulder,7.05,2013
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Rock/Boulder,7.05,2016
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Rock/Boulder,7.05,2019
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Soft Bottom,27.52,2013
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Soft Bottom,27.52,2016
Marine,KOOLAUPOKO,Ko‘olaupoko,koolaupoko,O‘ahu,oahu,Soft Bottom,27.52,2019
Marine,KONA OAH,Kona,kona,O‘ahu,oahu,Coral Dominated Hard Bottom,2.36,2013
Marine,KONA OAH,Kona,kona,O‘ahu,oahu,Coral Dominated Hard Bottom,2.36,2016
Marine,KONA OAH,Kona,kona,O‘ahu,oahu,Coral Dominated Hard Bottom,2.36,2019
Marine,KONA OAH,Kona,kona,O‘ahu,oahu,Open Ocean,67.01,2013
Marine,KONA OAH,Kona,kona,O‘ahu,oahu,Open Ocean,67.01,2016
Marine,KONA OAH,Kona,kona,O‘ahu,oahu,Open Ocean,67.01,2019
Marine,KONA OAH,Kona,kona,O‘ahu,oahu,Other Hard Bottom,1.56,2013
Marine,KONA OAH,Kona,kona,O‘ahu,oahu,Other Hard Bottom,1.56,2016
Marine,KONA OAH,Kona,kona,O‘ahu,oahu,Other Hard Bottom,1.56,2019
Marine,KONA OAH,Kona,kona,O‘ahu,oahu,Pavement,34.26,2013
Marine,KONA OAH,Kona,kona,O‘ahu,oahu,Pavement,34.26,2016
Marine,KONA OAH,Kona,kona,O‘ahu,oahu,Pavement,34.26,2019
Marine,KONA OAH,Kona,kona,O‘ahu,oahu,Soft Bottom,7.99,2013
Marine,KONA OAH,Kona,kona,O‘ahu,oahu,Soft Bottom,7.99,2016
Marine,KONA OAH,Kona,kona,O‘ahu,oahu,Soft Bottom,7.99,2019
Marine,KOOLAU MOL,Ko‘olau,koolau,Moloka‘i,molokai,Coral Dominated Hard Bottom,3.04,2013
Marine,KOOLAU MOL,Ko‘olau,koolau,Moloka‘i,molokai,Coral Dominated Hard Bottom,3.04,2016
Marine,KOOLAU MOL,Ko‘olau,koolau,Moloka‘i,molokai,Coral Dominated Hard Bottom,3.04,2019
Marine,KOOLAU MOL,Ko‘olau,koolau,Moloka‘i,molokai,Open Ocean,170.07,2013
Marine,KOOLAU MOL,Ko‘olau,koolau,Moloka‘i,molokai,Open Ocean,170.07,2016
Marine,KOOLAU MOL,Ko‘olau,koolau,Moloka‘i,molokai,Open Ocean,170.07,2019
Marine,KOOLAU MOL,Ko‘olau,koolau,Moloka‘i,molokai,Pavement,10.17,2013
Marine,KOOLAU MOL,Ko‘olau,koolau,Moloka‘i,molokai,Pavement,10.17,2016
Marine,KOOLAU MOL,Ko‘olau,koolau,Moloka‘i,molokai,Pavement,10.17,2019
Marine,KOOLAU MOL,Ko‘olau,koolau,Moloka‘i,molokai,Rock/Boulder,14.88,2013
Marine,KOOLAU MOL,Ko‘olau,koolau,Moloka‘i,molokai,Rock/Boulder,14.88,2016
Marine,KOOLAU MOL,Ko‘olau,koolau,Moloka‘i,molokai,Rock/Boulder,14.88,2019
Marine,KOOLAU MOL,Ko‘olau,koolau,Moloka‘i,molokai,Soft Bottom,2.05,2013
Marine,KOOLAU MOL,Ko‘olau,koolau,Moloka‘i,molokai,Soft Bottom,2.05,2016
Marine,KOOLAU MOL,Ko‘olau,koolau,Moloka‘i,molokai,Soft Bottom,2.05,2019
Marine,KALAWA,Hālawa,halawa,Moloka‘i,molokai,Coral Dominated Hard Bottom,0.84,2013
Marine,KALAWA,Hālawa,halawa,Moloka‘i,molokai,Coral Dominated Hard Bottom,0.84,2016
Marine,KALAWA,Hālawa,halawa,Moloka‘i,molokai,Coral Dominated Hard Bottom,0.84,2019
Marine,KALAWA,Hālawa,halawa,Moloka‘i,molokai,Open Ocean,120.59,2013
Marine,KALAWA,Hālawa,halawa,Moloka‘i,molokai,Open Ocean,120.59,2016
Marine,KALAWA,Hālawa,halawa,Moloka‘i,molokai,Open Ocean,120.59,2019
Marine,KALAWA,Hālawa,halawa,Moloka‘i,molokai,Rock/Boulder,19.35,2013
Marine,KALAWA,Hālawa,halawa,Moloka‘i,molokai,Rock/Boulder,19.35,2016
Marine,KALAWA,Hālawa,halawa,Moloka‘i,molokai,Rock/Boulder,19.35,2019
Marine,KALAWA,Hālawa,halawa,Moloka‘i,molokai,Soft Bottom,0.03,2013
Marine,KALAWA,Hālawa,halawa,Moloka‘i,molokai,Soft Bottom,0.03,2016
Marine,KALAWA,Hālawa,halawa,Moloka‘i,molokai,Soft Bottom,0.03,2019
Marine,PALAAU,Pālāʻau,palaau,Moloka‘i,molokai,Coral Dominated Hard Bottom,8.52,2013
Marine,PALAAU,Pālāʻau,palaau,Moloka‘i,molokai,Coral Dominated Hard Bottom,8.52,2016
Marine,PALAAU,Pālāʻau,palaau,Moloka‘i,molokai,Coral Dominated Hard Bottom,8.52,2019
Marine,PALAAU,Pālāʻau,palaau,Moloka‘i,molokai,Open Ocean,23.44,2013
Marine,PALAAU,Pālāʻau,palaau,Moloka‘i,molokai,Open Ocean,23.44,2016
Marine,PALAAU,Pālāʻau,palaau,Moloka‘i,molokai,Open Ocean,23.44,2019
Marine,PALAAU,Pālāʻau,palaau,Moloka‘i,molokai,Other Hard Bottom,0.5,2013
Marine,PALAAU,Pālāʻau,palaau,Moloka‘i,molokai,Other Hard Bottom,0.5,2016
Marine,PALAAU,Pālāʻau,palaau,Moloka‘i,molokai,Other Hard Bottom,0.5,2019
Marine,PALAAU,Pālāʻau,palaau,Moloka‘i,molokai,Pavement,8.76,2013
Marine,PALAAU,Pālāʻau,palaau,Moloka‘i,molokai,Pavement,8.76,2016
Marine,PALAAU,Pālāʻau,palaau,Moloka‘i,molokai,Pavement,8.76,2019
Marine,PALAAU,Pālāʻau,palaau,Moloka‘i,molokai,Soft Bottom,5.77,2013
Marine,PALAAU,Pālāʻau,palaau,Moloka‘i,molokai,Soft Bottom,5.77,2016
Marine,PALAAU,Pālāʻau,palaau,Moloka‘i,molokai,Soft Bottom,5.77,2019
Marine,KALUAKOI,Kaluako‘i,kaluakoi,Moloka‘i,molokai,Coral Dominated Hard Bottom,13.76,2013
Marine,KALUAKOI,Kaluako‘i,kaluakoi,Moloka‘i,molokai,Coral Dominated Hard Bottom,13.76,2016
Marine,KALUAKOI,Kaluako‘i,kaluakoi,Moloka‘i,molokai,Coral Dominated Hard Bottom,13.76,2019
Marine,KALUAKOI,Kaluako‘i,kaluakoi,Moloka‘i,molokai,Open Ocean,176.22,2013
Marine,KALUAKOI,Kaluako‘i,kaluakoi,Moloka‘i,molokai,Open Ocean,176.22,2016
Marine,KALUAKOI,Kaluako‘i,kaluakoi,Moloka‘i,molokai,Open Ocean,176.22,2019
Marine,KALUAKOI,Kaluako‘i,kaluakoi,Moloka‘i,molokai,Pavement,33.14,2013
Marine,KALUAKOI,Kaluako‘i,kaluakoi,Moloka‘i,molokai,Pavement,33.14,2016
Marine,KALUAKOI,Kaluako‘i,kaluakoi,Moloka‘i,molokai,Pavement,33.14,2019
Marine,KALUAKOI,Kaluako‘i,kaluakoi,Moloka‘i,molokai,Rock/Boulder,10.93,2013
