"year","county","area_id","ecosystem_type","species_group","exchange_value","withheld"
2021,"Hawaii",120,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",120,"All Ecosystems","Pelagics",36193.582,FALSE
2021,"Hawaii",120,"Reef","Pelagics",0,FALSE
2021,"Hawaii",120,"Open Ocean","Pelagics",36193.582,FALSE
2021,"Hawaii",120,"All Ecosystems","All Species",46777.147,FALSE
2021,"Hawaii",120,"Open Ocean","All Species",45202.475,FALSE
2021,"Hawaii",120,"Reef","All Species",1574.672,FALSE
2021,"Hawaii",121,"All Ecosystems","Deep 7 Bottomfish",38420.4029,FALSE
2021,"Hawaii",121,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Hawaii",121,"Open Ocean","Deep 7 Bottomfish",38420.4029,FALSE
2021,"Hawaii",121,"All Ecosystems","Shallow Bottomfish",3946.1008,FALSE
2021,"Hawaii",121,"Reef","Shallow Bottomfish",1723.20416,FALSE
2021,"Hawaii",121,"Open Ocean","Shallow Bottomfish",2222.89664,FALSE
2021,"Hawaii",121,"All Ecosystems","Reef-Associated",34453.848,FALSE
2021,"Hawaii",121,"Reef","Reef-Associated",34453.848,FALSE
2021,"Hawaii",121,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",121,"All Ecosystems","Pelagics",521251.276,FALSE
2021,"Hawaii",121,"Reef","Pelagics",0,FALSE
2021,"Hawaii",121,"Open Ocean","Pelagics",521251.276,FALSE
2021,"Hawaii",121,"All Ecosystems","All Species",59871.6277,FALSE
2021,"Hawaii",121,"Open Ocean","All Species",561894.57554,FALSE
2021,"Hawaii",121,"Reef","All Species",36177.05216,FALSE
2021,"Hawaii",122,"All Ecosystems","Deep 7 Bottomfish",41071.2265,FALSE
2021,"Hawaii",122,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Hawaii",122,"Open Ocean","Deep 7 Bottomfish",41071.2265,FALSE
2021,"Hawaii",122,"All Ecosystems","Shallow Bottomfish",16139.376,FALSE
2021,"Hawaii",122,"Reef","Shallow Bottomfish",4423.5072,FALSE
2021,"Hawaii",122,"Open Ocean","Shallow Bottomfish",11715.8688,FALSE
2021,"Hawaii",122,"All Ecosystems","Reef-Associated",7075.0966,FALSE
2021,"Hawaii",122,"Reef","Reef-Associated",7075.0966,FALSE
2021,"Hawaii",122,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",122,"All Ecosystems","Pelagics",101952.1501,FALSE
2021,"Hawaii",122,"Reef","Pelagics",0,FALSE
2021,"Hawaii",122,"Open Ocean","Pelagics",101952.1501,FALSE
2021,"Hawaii",122,"All Ecosystems","All Species",166237.8492,FALSE
2021,"Hawaii",122,"Open Ocean","All Species",154739.2454,FALSE
2021,"Hawaii",122,"Reef","All Species",11498.6038,FALSE
2021,"Hawaii",123,"All Ecosystems","Deep 7 Bottomfish",NA,TRUE
2021,"Hawaii",123,"Reef","Deep 7 Bottomfish",NA,TRUE
2021,"Hawaii",123,"Open Ocean","Deep 7 Bottomfish",NA,TRUE
2021,"Hawaii",123,"All Ecosystems","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",123,"Reef","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",123,"Open Ocean","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",123,"All Ecosystems","Reef-Associated",0,FALSE
2021,"Hawaii",123,"Reef","Reef-Associated",0,FALSE
2021,"Hawaii",123,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",123,"All Ecosystems","Pelagics",2855.675,FALSE
2021,"Hawaii",123,"Reef","Pelagics",0,FALSE
2021,"Hawaii",123,"Open Ocean","Pelagics",2855.675,FALSE
2021,"Hawaii",123,"All Ecosystems","All Species",2855.675,FALSE
2021,"Hawaii",123,"Open Ocean","All Species",2855.675,FALSE
2021,"Hawaii",123,"Reef","All Species",0,FALSE
2021,"Hawaii",124,"All Ecosystems","Deep 7 Bottomfish",2631.43,FALSE
2021,"Hawaii",124,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Hawaii",124,"Open Ocean","Deep 7 Bottomfish",2631.43,FALSE
2021,"Hawaii",124,"All Ecosystems","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",124,"Reef","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",124,"Open Ocean","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",124,"All Ecosystems","Reef-Associated",0,FALSE
2021,"Hawaii",124,"Reef","Reef-Associated",0,FALSE
2021,"Hawaii",124,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",124,"All Ecosystems","Pelagics",33801.098,FALSE
2021,"Hawaii",124,"Reef","Pelagics",0,FALSE
2021,"Hawaii",124,"Open Ocean","Pelagics",33801.098,FALSE
2021,"Hawaii",124,"All Ecosystems","All Species",36432.528,FALSE
2021,"Hawaii",124,"Open Ocean","All Species",36432.528,FALSE
2021,"Hawaii",124,"Reef","All Species",0,FALSE
2021,"Hawaii",125,"All Ecosystems","Deep 7 Bottomfish",14299.6129,FALSE
2021,"Hawaii",125,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Hawaii",125,"Open Ocean","Deep 7 Bottomfish",14299.6129,FALSE
2021,"Hawaii",125,"All Ecosystems","Shallow Bottomfish",1445.872,FALSE
2021,"Hawaii",125,"Reef","Shallow Bottomfish",588.3584,FALSE
2021,"Hawaii",125,"Open Ocean","Shallow Bottomfish",857.5136,FALSE
2021,"Hawaii",125,"All Ecosystems","Reef-Associated",273.988,FALSE
2021,"Hawaii",125,"Reef","Reef-Associated",273.988,FALSE
2021,"Hawaii",125,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",125,"All Ecosystems","Pelagics",239532.8551,FALSE
2021,"Hawaii",125,"Reef","Pelagics",0,FALSE
2021,"Hawaii",125,"Open Ocean","Pelagics",239532.8551,FALSE
2021,"Hawaii",125,"All Ecosystems","All Species",255552.328,FALSE
2021,"Hawaii",125,"Open Ocean","All Species",254689.9816,FALSE
2021,"Hawaii",125,"Reef","All Species",862.3464,FALSE
2021,"Hawaii",126,"All Ecosystems","Deep 7 Bottomfish",11939.185,FALSE
2021,"Hawaii",126,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Hawaii",126,"Open Ocean","Deep 7 Bottomfish",11939.185,FALSE
2021,"Hawaii",126,"All Ecosystems","Shallow Bottomfish",3888.656,FALSE
2021,"Hawaii",126,"Reef","Shallow Bottomfish",2743.072,FALSE
2021,"Hawaii",126,"Open Ocean","Shallow Bottomfish",1145.584,FALSE
2021,"Hawaii",126,"All Ecosystems","Reef-Associated",229.944,FALSE
2021,"Hawaii",126,"Reef","Reef-Associated",229.944,FALSE
2021,"Hawaii",126,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",126,"All Ecosystems","Pelagics",115196.5802,FALSE
2021,"Hawaii",126,"Reef","Pelagics",0,FALSE
2021,"Hawaii",126,"Open Ocean","Pelagics",115196.5802,FALSE
2021,"Hawaii",126,"All Ecosystems","All Species",131254.3652,FALSE
2021,"Hawaii",126,"Open Ocean","All Species",128281.3492,FALSE
2021,"Hawaii",126,"Reef","All Species",2973.016,FALSE
2021,"Hawaii",127,"All Ecosystems","Deep 7 Bottomfish",NA,TRUE
2021,"Hawaii",127,"Reef","Deep 7 Bottomfish",NA,TRUE
2021,"Hawaii",127,"Open Ocean","Deep 7 Bottomfish",NA,TRUE
2021,"Hawaii",127,"All Ecosystems","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",127,"Reef","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",127,"Open Ocean","Shallow Bottomfish",NA,TRUE
2021,"Hawaii",127,"All Ecosystems","Reef-Associated",0,FALSE
2021,"Hawaii",127,"Reef","Reef-Associated",0,FALSE
2021,"Hawaii",127,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",127,"All Ecosystems","Pelagics",19246.374,FALSE
2021,"Hawaii",127,"Reef","Pelagics",0,FALSE
2021,"Hawaii",127,"Open Ocean","Pelagics",19246.374,FALSE
2021,"Hawaii",127,"All Ecosystems","All Species",19246.374,FALSE
2021,"Hawaii",127,"Open Ocean","All Species",19246.374,FALSE
2021,"Hawaii",127,"Reef","All Species",0,FALSE
2021,"Hawaii",128,"All Ecosystems","Deep 7 Bottomfish",11440.269,FALSE
2021,"Hawaii",128,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Hawaii",128,"Open Ocean","Deep 7 Bottomfish",11440.269,FALSE
2021,"Hawaii",128,"All Ecosystems","Shallow Bottomfish",1385.152,FALSE
2021,"Hawaii",128,"Reef","Shallow Bottomfish",620.5952,FALSE
2021,"Hawaii",128,"Open Ocean","Shallow Bottomfish",764.5568,FALSE
2021,"Hawaii",128,"All Ecosystems","Reef-Associated",0,FALSE
2021,"Hawaii",128,"Reef","Reef-Associated",0,FALSE
2021,"Hawaii",128,"Open Ocean","Reef-Associated",0,FALSE
2021,"Hawaii",128,"All Ecosystems","Pelagics",91582.6869,FALSE
2021,"Hawaii",128,"Reef","Pelagics",0,FALSE
2021,"Hawaii",128,"Open Ocean","Pelagics",91582.6869,FALSE
2021,"Hawaii",128,"All Ecosystems","All Species",1448.179,FALSE
2021,"Hawaii",128,"Open Ocean","All Species",103787.5127,FALSE
2021,"Hawaii",128,"Reef","All Species",620.5952,FALSE
2021,"Maui",300,"All Ecosystems","Deep 7 Bottomfish",1909.212,FALSE
2021,"Maui",300,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Maui",300,"Open Ocean","Deep 7 Bottomfish",1909.212,FALSE
2021,"Maui",300,"All Ecosystems","Shallow Bottomfish",2199.4025,FALSE
2021,"Maui",300,"Reef","Shallow Bottomfish",924.349,FALSE
2021,"Maui",300,"Open Ocean","Shallow Bottomfish",1275.0535,FALSE
2021,"Maui",300,"All Ecosystems","Reef-Associated",78828.447,FALSE
2021,"Maui",300,"Reef","Reef-Associated",78828.447,FALSE
2021,"Maui",300,"Open Ocean","Reef-Associated",0,FALSE
2021,"Maui",300,"All Ecosystems","Pelagics",1593.294,FALSE
2021,"Maui",300,"Reef","Pelagics",0,FALSE
2021,"Maui",300,"Open Ocean","Pelagics",1593.294,FALSE
2021,"Maui",300,"All Ecosystems","All Species",8453.3555,FALSE
2021,"Maui",300,"Open Ocean","All Species",4777.5595,FALSE
2021,"Maui",300,"Reef","All Species",79752.796,FALSE
2021,"Maui",301,"All Ecosystems","Deep 7 Bottomfish",77.8,FALSE
2021,"Maui",301,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Maui",301,"Open Ocean","Deep 7 Bottomfish",77.8,FALSE
2021,"Maui",301,"All Ecosystems","Shallow Bottomfish",NA,TRUE
2021,"Maui",301,"Reef","Shallow Bottomfish",NA,TRUE
2021,"Maui",301,"Open Ocean","Shallow Bottomfish",NA,TRUE
2021,"Maui",301,"All Ecosystems","Reef-Associated",2963.256,FALSE
2021,"Maui",301,"Reef","Reef-Associated",2963.256,FALSE
2021,"Maui",301,"Open Ocean","Reef-Associated",0,FALSE
2021,"Maui",301,"All Ecosystems","Pelagics",0,FALSE
2021,"Maui",301,"Reef","Pelagics",0,FALSE
2021,"Maui",301,"Open Ocean","Pelagics",0,FALSE
2021,"Maui",301,"All Ecosystems","All Species",341.56,FALSE
2021,"Maui",301,"Open Ocean","All Species",77.8,FALSE
2021,"Maui",301,"Reef","All Species",2963.256,FALSE
2021,"Maui",302,"All Ecosystems","Deep 7 Bottomfish",NA,TRUE
2021,"Maui",302,"Reef","Deep 7 Bottomfish",NA,TRUE
2021,"Maui",302,"Open Ocean","Deep 7 Bottomfish",NA,TRUE
2021,"Maui",302,"All Ecosystems","Shallow Bottomfish",NA,TRUE
2021,"Maui",302,"Reef","Shallow Bottomfish",NA,TRUE
2021,"Maui",302,"Open Ocean","Shallow Bottomfish",NA,TRUE
2021,"Maui",302,"All Ecosystems","Reef-Associated",6847.524,FALSE
2021,"Maui",302,"Reef","Reef-Associated",6847.524,FALSE
2021,"Maui",302,"Open Ocean","Reef-Associated",0,FALSE
2021,"Maui",302,"All Ecosystems","Pelagics",455.877,FALSE
2021,"Maui",302,"Reef","Pelagics",0,FALSE
2021,"Maui",302,"Open Ocean","Pelagics",455.877,FALSE
2021,"Maui",302,"All Ecosystems","All Species",733.41,FALSE
2021,"Maui",302,"Open Ocean","All Species",455.877,FALSE
2021,"Maui",302,"Reef","All Species",6847.524,FALSE
2021,"Maui",303,"All Ecosystems","Deep 7 Bottomfish",9261.701,FALSE
2021,"Maui",303,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Maui",303,"Open Ocean","Deep 7 Bottomfish",9261.701,FALSE
2021,"Maui",303,"All Ecosystems","Shallow Bottomfish",2392.7,FALSE
2021,"Maui",303,"Reef","Shallow Bottomfish",1253.86,FALSE
2021,"Maui",303,"Open Ocean","Shallow Bottomfish",1138.84,FALSE
2021,"Maui",303,"All Ecosystems","Reef-Associated",1472.04,FALSE
2021,"Maui",303,"Reef","Reef-Associated",1472.04,FALSE
2021,"Maui",303,"Open Ocean","Reef-Associated",0,FALSE
2021,"Maui",303,"All Ecosystems","Pelagics",1805.526,FALSE
2021,"Maui",303,"Reef","Pelagics",0,FALSE
2021,"Maui",303,"Open Ocean","Pelagics",1805.526,FALSE
2021,"Maui",303,"All Ecosystems","All Species",14931.967,FALSE
2021,"Maui",303,"Open Ocean","All Species",12206.067,FALSE
2021,"Maui",303,"Reef","All Species",2725.9,FALSE
2021,"Maui",304,"All Ecosystems","Deep 7 Bottomfish",16571.4389,FALSE
2021,"Maui",304,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Maui",304,"Open Ocean","Deep 7 Bottomfish",16571.4389,FALSE
2021,"Maui",304,"All Ecosystems","Shallow Bottomfish",631.9,FALSE
2021,"Maui",304,"Reef","Shallow Bottomfish",217.97,FALSE
2021,"Maui",304,"Open Ocean","Shallow Bottomfish",413.93,FALSE
2021,"Maui",304,"All Ecosystems","Reef-Associated",0,FALSE
2021,"Maui",304,"Reef","Reef-Associated",0,FALSE
2021,"Maui",304,"Open Ocean","Reef-Associated",0,FALSE
2021,"Maui",304,"All Ecosystems","Pelagics",2188.92,FALSE
2021,"Maui",304,"Reef","Pelagics",0,FALSE
2021,"Maui",304,"Open Ocean","Pelagics",2188.92,FALSE
2021,"Maui",304,"All Ecosystems","All Species",19392.2589,FALSE
2021,"Maui",304,"Open Ocean","All Species",19174.2889,FALSE
2021,"Maui",304,"Reef","All Species",217.97,FALSE
2021,"Maui",305,"All Ecosystems","Deep 7 Bottomfish",6554.261,FALSE
2021,"Maui",305,"Reef","Deep 7 Bottomfish",0,FALSE
2021,"Maui",305,"Open Ocean","Deep 7 Bottomfish",6554.261,FALSE
2021,"Maui",305,"All Ecosystems","Shallow Bottomfish",987.965,FALSE
2021,"Maui",305,"Reef","Shallow Bottomfish",499.414,FALSE
2021,"Maui",305,"Open Ocean","Shallow Bottomfish",488.551,FALSE
2021,"Maui",305,"All Ecosystems","Reef-Associated",1075.83,FALSE
2021,"Maui",305,"Reef","Reef-Associated",1075.83,FALSE
2021,"Maui",305,"Open Ocean","Reef-Associated",0,FALSE
2021,"Maui",305,"All Ecosystems","Pelagics",2730.378,FALSE
2021,"Maui",305,"Reef","Pelagics",0,FALSE
2021,"Maui",305,"Open Ocean","Pelagics",2730.378,FALSE
2021,"Maui",305,"All Ecosystems","All Species",11348.434,FALSE
2021,"Maui",305,"Open Ocean","All Species",9773.19,FALSE
2021,"Maui",305,"Reef","All Species",1575.244,FALSE
2021,"Maui",306,"All Ecosystems","Deep 7 Bottomfish",NA,TRUE
2021,"Maui",306,"Reef","Deep 7 Bottomfish",NA,TRUE
2021,"Maui",306,"Open Ocean","Deep 7 Bottomfish",NA,TRUE
2021,"Maui",306,"All Ecosystems","Shallow Bottomfish",NA,TRUE
2021,"Maui",306,"Reef","Shallow Bottomfish",NA,TRUE
2021,"Maui",306,"Open Ocean","Shallow Bottomfish",NA,TRUE
2021,"Maui",306,"All Ecosystems","Reef-Associated",0,FALSE
2021,"Maui",306,"Reef","Reef-Associated",0,FALSE
2021,"Maui",306,"Open Ocean","Reef-Associated",0,FALSE
2021,"Maui",306,"All Ecosystems","Pelagics",690.42,FALSE
2021,"Maui",306,"Reef","Pelagics",0,FALSE
2021,"Maui",306,"Open Ocean","Pelagics",690.42,FALSE
2021,"Maui",306,"All Ecosystems","All Species",69.42,FALSE
2021,"Maui",306,"Open Ocean","All Species",690.42,FALSE
2021,"Maui",306,"Reef","All Species",0,FALSE
2021,"Maui",307,"All Ecosystems","Deep 7 Bottomfish",NA,TRUE
2021,"Maui",307,"Reef","Deep 7 Bottomfish",NA,TRUE
2021,"Maui",307,"Open Ocean","Deep 7 Bottomfish",NA,TRUE
2021,"Maui",307,"All Ecosystems","Shallow Bottomfish",NA,TRUE
2021,"Maui",307,"Reef","Shallow Bottomfish",NA,TRUE
2021,"Maui",307,"Open Ocean","Shallow Bottomfish",NA,TRUE
2021,"Maui",307,"All Ecosystems","Reef-Associated",0,FALSE
2021,"Maui",307,"Reef","Reef-Associated",0,FALSE
